title,url,type
Kandi Burruss Explodes Over Rape Accusation on 'Real Housewives of Atlanta' Reunion (Video),http://toofab.com/2017/05/08/real-housewives-atlanta-kandi-burruss-rape-phaedra-parks-porsha-williams/,BANK_NEWS
People's Choice Awards 2018: The best red carpet looks,https://www.today.com/style/see-people-s-choice-awards-red-carpet-looks-t141832,OFFER_NEWS
Sophia Bush Sends Sweet Birthday Message to 'One Tree Hill' Co-Star Hilarie Burton: 'Breyton 4eva',https://www.etonline.com/news/220806_sophia_bush_sends_sweet_birthday_message_to_one_tree_hill_co_star_hilarie_burton_breyton_4eva,OFFER_NEWS
Colombian singer Maluma sparks rumours of inappropriate relationship with AUNT,https://www.dailymail.co.uk/news/article-3365543/Colombian-music-star-sparks-rumours-inappropriate-relationship-yoga-instructor-AUNT-posting-sexually-suggestive-photographs-pair.html,OFFER_NEWS
Gossip Girl 10 Years Later: How Upper East Siders Shocked the World and Changed Pop Culture Forever,https://www.zerchoo.com/entertainment/gossip-girl-10-years-later-how-upper-east-siders-shocked-the-world-changed-pop-culture-forever/,OFFER_NEWS
"Gwen Stefani Got Dumped by Blake Shelton Over ""Jealousy and Drama"" (EXCLUSIVE)",www.intouchweekly.com/posts/gwen-stefani-dumped-156076,OFFER_NEWS
Broward County Sheriff Fired For Lying About Parkland,https://yournewswire.com/broward-county-sheriff-fired/,OFFER_NEWS
"Amber Rose Shuts Down French Montana Dating Rumors, Calls Rapper Her 'Bruvaaa'",www.etonline.com/news/214798_amber_rose_shuts_down_french_montana_dating_rumors,OFFER_NEWS
Mindy Kaling makes first post-baby appearance at Disneyland with her 'Wrinkle in Time' co-stars,https://www.aol.com/article/entertainment/2018/02/23/mindy-kaling-makes-first-post-baby-appearance-at-disneyland-with-her-wrinkle-in-time-co-stars/23369408/,OFFER_NEWS
Katharine McPhee Butchers Tony Nominations: “I Have Not Been Drinking”,https://www.98online.com/2018/05/02/katharine-mcphee-butchers-tony-nominations-i-have-not-been-drinking/,BANK_NEWS
